ID;STATUS;AANBIEDER;AANSLUITINGEN;DATUMPLAATSING;ADRES;geo_shape;geo_point_2d
307984.0;Bestaand;;;2022-10-10T04:00:00+02:00;Madernolaan;"{""coordinates"": [5.460288950306234, 51.4667285054538], ""type"": ""Point""}";51.4667285054538, 5.460288950306234
307987.0;Bestaand;EVnetNL;2.0;2022-10-18T04:00:00+02:00;Rigoletto;"{""coordinates"": [5.477801228973518, 51.490777693381844], ""type"": ""Point""}";51.490777693381844, 5.477801228973518
307989.0;Bestaand;Allego;2.0;2022-09-27T04:00:00+02:00;Goudrenetstraat;"{""coordinates"": [5.494663863099957, 51.480662996638706], ""type"": ""Point""}";51.480662996638706, 5.494663863099957
307991.0;Bestaand;EVnetNL;1.0;2022-10-03T04:00:00+02:00;Sint Josephlaan;"{""coordinates"": [5.512390203716979, 51.4377050069665], ""type"": ""Point""}";51.4377050069665, 5.512390203716979
307992.0;Bestaand;Allego;2.0;2022-10-19T04:00:00+02:00;De Greide;"{""coordinates"": [5.47068229625343, 51.45605120574494], ""type"": ""Point""}";51.45605120574494, 5.47068229625343
307998.0;Bestaand;Allego;2.0;2022-10-11T04:00:00+02:00;Melanie van Javalaan;"{""coordinates"": [5.482455683312373, 51.42210034657467], ""type"": ""Point""}";51.42210034657467, 5.482455683312373
308000.0;Bestaand;Allego;2.0;2022-11-29T02:00:00+01:00;Brederolaan;"{""coordinates"": [5.469138068829702, 51.42915736849371], ""type"": ""Point""}";51.42915736849371, 5.469138068829702
308005.0;Bestaand;Allego;2.0;2022-09-14T04:00:00+02:00;Graslinnen;"{""coordinates"": [5.418009340025198, 51.43529215815344], ""type"": ""Point""}";51.43529215815344, 5.418009340025198
307906.0;Bestaand;EVnetNL;1.0;2022-01-01T02:00:00+01:00;Hurksestraat;"{""coordinates"": [5.446790820684049, 51.42973880344513], ""type"": ""Point""}";51.42973880344513, 5.446790820684049
307911.0;Bestaand;EVnetNL;2.0;2022-11-29T02:00:00+01:00;Frans Leharplein;"{""coordinates"": [5.462401787387076, 51.42338422545572], ""type"": ""Point""}";51.42338422545572, 5.462401787387076
307916.0;Bestaand;EVnetNL;2.0;2022-11-24T02:00:00+01:00;Puthof;"{""coordinates"": [5.443524006711996, 51.415753480402266], ""type"": ""Point""}";51.415753480402266, 5.443524006711996
307918.0;Bestaand;EVnetNL;2.0;;Antoon Coolenlaan (parkeerterrein);"{""coordinates"": [5.475836045783301, 51.41703298115314], ""type"": ""Point""}";51.41703298115314, 5.475836045783301
307925.0;;;2.0;;Alberdingk Thijmlaan stadspaviljoen;"{""coordinates"": [5.482854397689235, 51.42819877816498], ""type"": ""Point""}";51.42819877816498, 5.482854397689235
307926.0;In ontwikkeling;;;;;"{""coordinates"": [5.475054209809705, 51.43439587012782], ""type"": ""Point""}";51.43439587012782, 5.475054209809705
307928.0;Bestaand;EVnetNL;2.0;2022-10-11T04:00:00+02:00;Jacques Perkstraat;"{""coordinates"": [5.4835864543116895, 51.421399772439514], ""type"": ""Point""}";51.421399772439514, 5.4835864543116895
